gene_id,gene_symbol,ensembl_id,gene_title,gene_type,src,feature_space
10007,GNPDA1,ENSG00000113552,glucosamine-6-phosphate deaminase 1,protein-coding,NCBI,landmark
1001,CDH3,ENSG00000062038,cadherin 3,protein-coding,NCBI,landmark
10013,HDAC6,ENSG00000094631,histone deacetylase 6,protein-coding,NCBI,landmark
10038,PARP2,ENSG00000129484,poly(ADP-ribose) polymerase 2,protein-coding,NCBI,landmark
10046,MAMLD1,ENSG00000013619,mastermind like domain containing 1,protein-coding,NCBI,landmark
10049,DNAJB6,ENSG00000105993,DnaJ heat shock protein family (Hsp40) member B6,protein-coding,NCBI,landmark
10051,SMC4,ENSG00000113810,structural maintenance of chromosomes 4,protein-coding,NCBI,landmark
10057,ABCC5,ENSG00000114770,ATP binding cassette subfamily C member 5,protein-coding,NCBI,landmark
10058,ABCB6,ENSG00000115657,ATP binding cassette subfamily B member 6 (Langereis blood group),protein-coding,NCBI,landmark
10059,DNM1L,ENSG00000087470,dynamin 1 like,protein-coding,NCBI,landmark
10099,TSPAN3,ENSG00000140391,tetraspanin 3,protein-coding,NCBI,landmark
10112,KIF20A,ENSG00000112984,kinesin family member 20A,protein-coding,NCBI,landmark
10123,ARL4C,ENSG00000188042,ADP ribosylation factor like GTPase 4C,protein-coding,NCBI,landmark
10131,TRAP1,ENSG00000126602,TNF receptor associated protein 1,protein-coding,NCBI,landmark
10146,G3BP1,ENSG00000145907,G3BP stress granule assembly factor 1,protein-coding,NCBI,landmark
10150,MBNL2,ENSG00000139793,muscleblind like splicing regulator 2,protein-coding,NCBI,landmark
10153,CEBPZ,ENSG00000115816,CCAAT enhancer binding protein zeta,protein-coding,NCBI,landmark
10165,SLC25A13,ENSG00000004864,solute carrier family 25 member 13,protein-coding,NCBI,landmark
1017,CDK2,ENSG00000123374,cyclin dependent kinase 2,protein-coding,NCBI,landmark
10174,SORBS3,ENSG00000120896,sorbin and SH3 domain containing 3,protein-coding,NCBI,landmark
10180,RBM6,ENSG00000004534,RNA binding motif protein 6,protein-coding,NCBI,landmark
1019,CDK4,ENSG00000135446,cyclin dependent kinase 4,protein-coding,NCBI,landmark
10190,TXNDC9,ENSG00000115514,thioredoxin domain containing 9,protein-coding,NCBI,landmark
102,ADAM10,ENSG00000137845,ADAM metallopeptidase domain 10,protein-coding,NCBI,landmark
10206,TRIM13,ENSG00000204977,tripartite motif containing 13,protein-coding,NCBI,landmark
1021,CDK6,ENSG00000105810,cyclin dependent kinase 6,protein-coding,NCBI,landmark
1022,CDK7,ENSG00000134058,cyclin dependent kinase 7,protein-coding,NCBI,landmark
10221,TRIB1,ENSG00000173334,tribbles pseudokinase 1,protein-coding,NCBI,landmark
10227,MFSD10,ENSG00000109736,major facilitator superfamily domain containing 10,protein-coding,NCBI,landmark
10237,SLC35B1,ENSG00000121073,solute carrier family 35 member B1,protein-coding,NCBI,landmark
10245,TIMM17B,ENSG00000126768,translocase of inner mitochondrial membrane 17B,protein-coding,NCBI,landmark
1026,CDKN1A,ENSG00000124762,cyclin dependent kinase inhibitor 1A,protein-coding,NCBI,landmark
1027,CDKN1B,ENSG00000111276,cyclin dependent kinase inhibitor 1B,protein-coding,NCBI,landmark
10270,AKAP8,ENSG00000105127,A-kinase anchoring protein 8,protein-coding,NCBI,landmark
10273,STUB1,ENSG00000103266,STIP1 homology and U-box containing protein 1,protein-coding,NCBI,landmark
10276,NET1,ENSG00000173848,neuroepithelial cell transforming 1,protein-coding,NCBI,landmark
10285,SMNDC1,ENSG00000119953,survival motor neuron domain containing 1,protein-coding,NCBI,landmark
1029,CDKN2A,ENSG00000147889,cyclin dependent kinase inhibitor 2A,protein-coding,NCBI,landmark
10298,PAK4,ENSG00000130669,p21 (RAC1) activated kinase 4,protein-coding,NCBI,landmark
10318,TNIP1,ENSG00000145901,TNFAIP3 interacting protein 1,protein-coding,NCBI,landmark
10320,IKZF1,ENSG00000185811,IKAROS family zinc finger 1,protein-coding,NCBI,landmark
10329,RXYLT1,ENSG00000118600,ribitol xylosyltransferase 1,protein-coding,NCBI,landmark
10362,HMG20B,ENSG00000064961,high mobility group 20B,protein-coding,NCBI,landmark
10398,MYL9,ENSG00000101335,myosin light chain 9,protein-coding,NCBI,landmark
10434,LYPLA1,ENSG00000120992,lysophospholipase 1,protein-coding,NCBI,landmark
10450,PPIE,ENSG00000084072,peptidylprolyl isomerase E,protein-coding,NCBI,landmark
10451,VAV3,ENSG00000134215,vav guanine nucleotide exchange factor 3,protein-coding,NCBI,landmark
10489,LRRC41,ENSG00000132128,leucine rich repeat containing 41,protein-coding,NCBI,landmark
10491,CRTAP,ENSG00000170275,cartilage associated protein,protein-coding,NCBI,landmark
10493,VAT1,ENSG00000108828,vesicle amine transport 1,protein-coding,NCBI,landmark
10494,STK25,ENSG00000115694,serine/threonine kinase 25,protein-coding,NCBI,landmark
1050,CEBPA,ENSG00000245848,CCAAT enhancer binding protein alpha,protein-coding,NCBI,landmark
10513,APPBP2,ENSG00000062725,amyloid beta precursor protein binding protein 2,protein-coding,NCBI,landmark
1052,CEBPD,ENSG00000221869,CCAAT enhancer binding protein delta,protein-coding,NCBI,landmark
10523,CHERP,ENSG00000085872,calcium homeostasis endoplasmic reticulum protein,protein-coding,NCBI,landmark
10525,HYOU1,ENSG00000149428,hypoxia up-regulated 1,protein-coding,NCBI,landmark
10557,RPP38,ENSG00000152464,ribonuclease P/MRP subunit p38,protein-coding,NCBI,landmark
10559,SLC35A1,ENSG00000164414,solute carrier family 35 member A1,protein-coding,NCBI,landmark
10589,DRAP1,ENSG00000175550,DR1 associated protein 1,protein-coding,NCBI,landmark
10606,PAICS,ENSG00000128050,phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase,protein-coding,NCBI,landmark
10610,ST6GALNAC2,ENSG00000070731,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",protein-coding,NCBI,landmark
10617,STAMBP,ENSG00000124356,STAM binding protein,protein-coding,NCBI,landmark
1062,CENPE,ENSG00000138778,centromere protein E,protein-coding,NCBI,landmark
10641,NPRL2,ENSG00000114388,"NPR2 like, GATOR1 complex subunit",protein-coding,NCBI,landmark
10644,IGF2BP2,ENSG00000073792,insulin like growth factor 2 mRNA binding protein 2,protein-coding,NCBI,landmark
10652,YKT6,ENSG00000106636,YKT6 v-SNARE homolog,protein-coding,NCBI,landmark
10668,CGRRF1,ENSG00000100532,cell growth regulator with ring finger domain 1,protein-coding,NCBI,landmark
10670,RRAGA,ENSG00000155876,Ras related GTP binding A,protein-coding,NCBI,landmark
10681,GNB5,ENSG00000069966,G protein subunit beta 5,protein-coding,NCBI,landmark
10682,EBP,ENSG00000147155,EBP cholestenol delta-isomerase,protein-coding,NCBI,landmark
10695,CNPY3,ENSG00000137161,canopy FGF signaling regulator 3,protein-coding,NCBI,landmark
1070,CETN3,ENSG00000153140,centrin 3,protein-coding,NCBI,landmark
10730,YME1L1,ENSG00000136758,YME1 like 1 ATPase,protein-coding,NCBI,landmark
10732,TCFL5,ENSG00000101190,transcription factor like 5,protein-coding,NCBI,landmark
10765,KDM5B,ENSG00000117139,lysine demethylase 5B,protein-coding,NCBI,landmark
10775,POP4,ENSG00000105171,"POP4 homolog, ribonuclease P/MRP subunit",protein-coding,NCBI,landmark
10776,ARPP19,ENSG00000128989,cAMP regulated phosphoprotein 19,protein-coding,NCBI,landmark
10782,ZNF274,ENSG00000171606,zinc finger protein 274,protein-coding,NCBI,landmark
10797,MTHFD2,ENSG00000065911,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",protein-coding,NCBI,landmark
10810,WASF3,ENSG00000132970,WASP family member 3,protein-coding,NCBI,landmark
10813,UTP14A,ENSG00000156697,UTP14A small subunit processome component,protein-coding,NCBI,landmark
10818,FRS2,ENSG00000166225,fibroblast growth factor receptor substrate 2,protein-coding,NCBI,landmark
10845,CLPX,ENSG00000166855,caseinolytic mitochondrial matrix peptidase chaperone subunit,protein-coding,NCBI,landmark
10857,PGRMC1,ENSG00000101856,progesterone receptor membrane component 1,protein-coding,NCBI,landmark
10892,MALT1,ENSG00000172175,MALT1 paracaspase,protein-coding,NCBI,landmark
10898,CPSF4,ENSG00000160917,cleavage and polyadenylation specific factor 4,protein-coding,NCBI,landmark
10904,BLCAP,ENSG00000166619,BLCAP apoptosis inducing factor,protein-coding,NCBI,landmark
10915,TCERG1,ENSG00000113649,transcription elongation regulator 1,protein-coding,NCBI,landmark
10921,RNPS1,ENSG00000205937,RNA binding protein with serine rich domain 1,protein-coding,NCBI,landmark
10953,TOMM34,ENSG00000025772,translocase of outer mitochondrial membrane 34,protein-coding,NCBI,landmark
10954,PDIA5,ENSG00000065485,protein disulfide isomerase family A member 5,protein-coding,NCBI,landmark
10962,MLLT11,ENSG00000213190,MLLT11 transcription factor 7 cofactor,protein-coding,NCBI,landmark
10969,EBNA1BP2,ENSG00000117395,EBNA1 binding protein 2,protein-coding,NCBI,landmark
10972,TMED10,ENSG00000170348,transmembrane p24 trafficking protein 10,protein-coding,NCBI,landmark
10973,ASCC3,ENSG00000112249,activating signal cointegrator 1 complex subunit 3,protein-coding,NCBI,landmark
11000,SLC27A3,ENSG00000143554,solute carrier family 27 member 3,protein-coding,NCBI,landmark
11004,KIF2C,ENSG00000142945,kinesin family member 2C,protein-coding,NCBI,landmark
11007,CCDC85B,ENSG00000175602,coiled-coil domain containing 85B,protein-coding,NCBI,landmark
11011,TLK2,ENSG00000146872,tousled like kinase 2,protein-coding,NCBI,landmark
11014,KDELR2,ENSG00000136240,KDEL endoplasmic reticulum protein retention receptor 2,protein-coding,NCBI,landmark
11031,RAB31,ENSG00000168461,"RAB31, member RAS oncogene family",protein-coding,NCBI,landmark
11041,B4GAT1,ENSG00000174684,"beta-1,4-glucuronyltransferase 1",protein-coding,NCBI,landmark
11044,TENT4A,ENSG00000112941,terminal nucleotidyltransferase 4A,protein-coding,NCBI,landmark
11065,UBE2C,ENSG00000175063,ubiquitin conjugating enzyme E2 C,protein-coding,NCBI,landmark
11072,DUSP14,ENSG00000276023,dual specificity phosphatase 14,protein-coding,NCBI,landmark
11073,TOPBP1,ENSG00000163781,DNA topoisomerase II binding protein 1,protein-coding,NCBI,landmark
11098,PRSS23,ENSG00000150687,serine protease 23,protein-coding,NCBI,landmark
1111,CHEK1,ENSG00000149554,checkpoint kinase 1,protein-coding,NCBI,landmark
11137,PWP1,ENSG00000136045,"PWP1 homolog, endonuclein",protein-coding,NCBI,landmark
11142,PKIG,ENSG00000168734,cAMP-dependent protein kinase inhibitor gamma,protein-coding,NCBI,landmark
11151,CORO1A,ENSG00000102879,coronin 1A,protein-coding,NCBI,landmark
11157,LSM6,ENSG00000164167,"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated",protein-coding,NCBI,landmark
11168,PSIP1,ENSG00000164985,PC4 and SFRS1 interacting protein 1,protein-coding,NCBI,landmark
11182,SLC2A6,ENSG00000160326,solute carrier family 2 member 6,protein-coding,NCBI,landmark
11188,NISCH,ENSG00000010322,nischarin,protein-coding,NCBI,landmark
11200,CHEK2,ENSG00000183765,checkpoint kinase 2,protein-coding,NCBI,landmark
1123,CHN1,ENSG00000128656,chimerin 1,protein-coding,NCBI,landmark
11230,PRAF2,ENSG00000243279,PRA1 domain family member 2,protein-coding,NCBI,landmark
11232,POLG2,ENSG00000256525,"DNA polymerase gamma 2, accessory subunit",protein-coding,NCBI,landmark
11261,CHP1,ENSG00000187446,calcineurin like EF-hand protein 1,protein-coding,NCBI,landmark
11284,PNKP,ENSG00000039650,polynucleotide kinase 3'-phosphatase,protein-coding,NCBI,landmark
11319,ECD,ENSG00000122882,ecdysoneless cell cycle regulator,protein-coding,NCBI,landmark
11325,DDX42,ENSG00000198231,DEAD-box helicase 42,protein-coding,NCBI,landmark
11344,TWF2,ENSG00000247596,twinfilin actin binding protein 2,protein-coding,NCBI,landmark
1153,CIRBP,ENSG00000099622,cold inducible RNA binding protein,protein-coding,NCBI,landmark
116832,RPL39L,ENSG00000163923,ribosomal protein L39 like,protein-coding,NCBI,landmark
1212,CLTB,ENSG00000175416,clathrin light chain B,protein-coding,NCBI,landmark
1213,CLTC,ENSG00000141367,clathrin heavy chain,protein-coding,NCBI,landmark
124583,CANT1,ENSG00000171302,calcium activated nucleotidase 1,protein-coding,NCBI,landmark
1277,COL1A1,ENSG00000108821,collagen type I alpha 1 chain,protein-coding,NCBI,landmark
128,ADH5,ENSG00000197894,"alcohol dehydrogenase 5 (class III), chi polypeptide",protein-coding,NCBI,landmark
1282,COL4A1,ENSG00000187498,collagen type IV alpha 1 chain,protein-coding,NCBI,landmark
1385,CREB1,ENSG00000118260,cAMP responsive element binding protein 1,protein-coding,NCBI,landmark
1398,CRK,ENSG00000167193,"CRK proto-oncogene, adaptor protein",protein-coding,NCBI,landmark
1399,CRKL,ENSG00000099942,"CRK like proto-oncogene, adaptor protein",protein-coding,NCBI,landmark
142,PARP1,ENSG00000143799,poly(ADP-ribose) polymerase 1,protein-coding,NCBI,landmark
1429,CRYZ,ENSG00000116791,crystallin zeta,protein-coding,NCBI,landmark
1445,CSK,ENSG00000103653,C-terminal Src kinase,protein-coding,NCBI,landmark
1452,CSNK1A1,ENSG00000113712,casein kinase 1 alpha 1,protein-coding,NCBI,landmark
1454,CSNK1E,ENSG00000213923,casein kinase 1 epsilon,protein-coding,NCBI,landmark
1459,CSNK2A2,ENSG00000070770,casein kinase 2 alpha 2,protein-coding,NCBI,landmark
1465,CSRP1,ENSG00000159176,cysteine and glycine rich protein 1,protein-coding,NCBI,landmark
147179,WIPF2,ENSG00000171475,WAS/WASL interacting protein family member 2,protein-coding,NCBI,landmark
148022,TICAM1,ENSG00000127666,toll like receptor adaptor molecule 1,protein-coding,NCBI,landmark
1500,CTNND1,ENSG00000198561,catenin delta 1,protein-coding,NCBI,landmark
1509,CTSD,ENSG00000117984,cathepsin D,protein-coding,NCBI,landmark
1514,CTSL,ENSG00000135047,cathepsin L,protein-coding,NCBI,landmark
1534,CYB561,ENSG00000008283,cytochrome b561,protein-coding,NCBI,landmark
154,ADRB2,ENSG00000169252,adrenoceptor beta 2,protein-coding,NCBI,landmark
16,AARS,ENSG00000090861,alanyl-tRNA synthetase,protein-coding,NCBI,landmark
1605,DAG1,ENSG00000173402,dystroglycan 1,protein-coding,NCBI,landmark
1616,DAXX,ENSG00000204209,death domain associated protein,protein-coding,NCBI,landmark
1633,DCK,ENSG00000156136,deoxycytidine kinase,protein-coding,NCBI,landmark
1635,DCTD,ENSG00000129187,dCMP deaminase,protein-coding,NCBI,landmark
1643,DDB2,ENSG00000134574,damage specific DNA binding protein 2,protein-coding,NCBI,landmark
1647,GADD45A,ENSG00000116717,growth arrest and DNA damage inducible alpha,protein-coding,NCBI,landmark
1662,DDX10,ENSG00000178105,DEAD-box helicase 10,protein-coding,NCBI,landmark
1666,DECR1,ENSG00000104325,"2,4-dienoyl-CoA reductase 1",protein-coding,NCBI,landmark
1676,DFFA,ENSG00000160049,DNA fragmentation factor subunit alpha,protein-coding,NCBI,landmark
1677,DFFB,ENSG00000169598,DNA fragmentation factor subunit beta,protein-coding,NCBI,landmark
1738,DLD,ENSG00000091140,dihydrolipoamide dehydrogenase,protein-coding,NCBI,landmark
1759,DNM1,ENSG00000106976,dynamin 1,protein-coding,NCBI,landmark
178,AGL,ENSG00000162688,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",protein-coding,NCBI,landmark
1786,DNMT1,ENSG00000130816,DNA methyltransferase 1,protein-coding,NCBI,landmark
1788,DNMT3A,ENSG00000119772,DNA methyltransferase 3 alpha,protein-coding,NCBI,landmark
1802,DPH2,ENSG00000132768,diphthamide biosynthesis 2,protein-coding,NCBI,landmark
1829,DSG2,ENSG00000046604,desmoglein 2,protein-coding,NCBI,landmark
1831,TSC22D3,ENSG00000157514,TSC22 domain family member 3,protein-coding,NCBI,landmark
1845,DUSP3,ENSG00000108861,dual specificity phosphatase 3,protein-coding,NCBI,landmark
1846,DUSP4,ENSG00000120875,dual specificity phosphatase 4,protein-coding,NCBI,landmark
1848,DUSP6,ENSG00000139318,dual specificity phosphatase 6,protein-coding,NCBI,landmark
1861,TOR1A,ENSG00000136827,torsin family 1 member A,protein-coding,NCBI,landmark
1870,E2F2,ENSG00000007968,E2F transcription factor 2,protein-coding,NCBI,landmark
1891,ECH1,ENSG00000104823,enoyl-CoA hydratase 1,protein-coding,NCBI,landmark
1906,EDN1,ENSG00000078401,endothelin 1,protein-coding,NCBI,landmark
1950,EGF,ENSG00000138798,epidermal growth factor,protein-coding,NCBI,landmark
1956,EGFR,ENSG00000146648,epidermal growth factor receptor,protein-coding,NCBI,landmark
1958,EGR1,ENSG00000120738,early growth response 1,protein-coding,NCBI,landmark
1978,EIF4EBP1,ENSG00000187840,eukaryotic translation initiation factor 4E binding protein 1,protein-coding,NCBI,landmark
1981,EIF4G1,ENSG00000114867,eukaryotic translation initiation factor 4 gamma 1,protein-coding,NCBI,landmark
1983,EIF5,ENSG00000100664,eukaryotic translation initiation factor 5,protein-coding,NCBI,landmark
1994,ELAVL1,ENSG00000066044,ELAV like RNA binding protein 1,protein-coding,NCBI,landmark
200081,TXLNA,ENSG00000084652,taxilin alpha,protein-coding,NCBI,landmark
200734,SPRED2,ENSG00000198369,sprouty related EVH1 domain containing 2,protein-coding,NCBI,landmark
2017,CTTN,ENSG00000085733,cortactin,protein-coding,NCBI,landmark
2037,EPB41L2,ENSG00000079819,erythrocyte membrane protein band 4.1 like 2,protein-coding,NCBI,landmark
2042,EPHA3,ENSG00000044524,EPH receptor A3,protein-coding,NCBI,landmark
2048,EPHB2,ENSG00000133216,EPH receptor B2,protein-coding,NCBI,landmark
2058,EPRS,ENSG00000136628,glutamyl-prolyl-tRNA synthetase,protein-coding,NCBI,landmark
2063,NR2F6,ENSG00000160113,nuclear receptor subfamily 2 group F member 6,protein-coding,NCBI,landmark
2064,ERBB2,ENSG00000141736,erb-b2 receptor tyrosine kinase 2,protein-coding,NCBI,landmark
2065,ERBB3,ENSG00000065361,erb-b2 receptor tyrosine kinase 3,protein-coding,NCBI,landmark
207,AKT1,ENSG00000142208,AKT serine/threonine kinase 1,protein-coding,NCBI,landmark
2109,ETFB,ENSG00000105379,electron transfer flavoprotein subunit beta,protein-coding,NCBI,landmark
211,ALAS1,ENSG00000023330,5'-aminolevulinate synthase 1,protein-coding,NCBI,landmark
2113,ETS1,ENSG00000134954,"ETS proto-oncogene 1, transcription factor",protein-coding,NCBI,landmark
2115,ETV1,ENSG00000006468,ETS variant 1,protein-coding,NCBI,landmark
2131,EXT1,ENSG00000182197,exostosin glycosyltransferase 1,protein-coding,NCBI,landmark
2146,EZH2,ENSG00000106462,enhancer of zeste 2 polycomb repressive complex 2 subunit,protein-coding,NCBI,landmark
2184,FAH,ENSG00000103876,fumarylacetoacetate hydrolase,protein-coding,NCBI,landmark
2185,PTK2B,ENSG00000120899,protein tyrosine kinase 2 beta,protein-coding,NCBI,landmark
2195,FAT1,ENSG00000083857,FAT atypical cadherin 1,protein-coding,NCBI,landmark
2222,FDFT1,ENSG00000079459,farnesyl-diphosphate farnesyltransferase 1,protein-coding,NCBI,landmark
226,ALDOA,ENSG00000149925,"aldolase, fructose-bisphosphate A",protein-coding,NCBI,landmark
2263,FGFR2,ENSG00000066468,fibroblast growth factor receptor 2,protein-coding,NCBI,landmark
2264,FGFR4,ENSG00000160867,fibroblast growth factor receptor 4,protein-coding,NCBI,landmark
2274,FHL2,ENSG00000115641,four and a half LIM domains 2,protein-coding,NCBI,landmark
22794,CASC3,ENSG00000108349,CASC3 exon junction complex subunit,protein-coding,NCBI,landmark
22796,COG2,ENSG00000135775,component of oligomeric golgi complex 2,protein-coding,NCBI,landmark
22809,ATF5,ENSG00000169136,activating transcription factor 5,protein-coding,NCBI,landmark
22823,MTF2,ENSG00000143033,metal response element binding transcription factor 2,protein-coding,NCBI,landmark
22827,PUF60,ENSG00000179950,poly(U) binding splicing factor 60,protein-coding,NCBI,landmark
22841,RAB11FIP2,ENSG00000107560,RAB11 family interacting protein 2,protein-coding,NCBI,landmark
2288,FKBP4,ENSG00000004478,FKBP prolyl isomerase 4,protein-coding,NCBI,landmark
22883,CLSTN1,ENSG00000171603,calsyntenin 1,protein-coding,NCBI,landmark
22887,FOXJ3,ENSG00000198815,forkhead box J3,protein-coding,NCBI,landmark
22889,KHDC4,ENSG00000132680,"KH domain containing 4, pre-mRNA splicing factor",protein-coding,NCBI,landmark
22905,EPN2,ENSG00000072134,epsin 2,protein-coding,NCBI,landmark
22908,SACM1L,ENSG00000211456,SAC1 like phosphatidylinositide phosphatase,protein-coding,NCBI,landmark
22926,ATF6,ENSG00000118217,activating transcription factor 6,protein-coding,NCBI,landmark
22934,RPIA,ENSG00000153574,ribose 5-phosphate isomerase A,protein-coding,NCBI,landmark
23,ABCF1,ENSG00000204574,ATP binding cassette subfamily F member 1,protein-coding,NCBI,landmark
230,ALDOC,ENSG00000109107,"aldolase, fructose-bisphosphate C",protein-coding,NCBI,landmark
23011,RAB21,ENSG00000080371,"RAB21, member RAS oncogene family",protein-coding,NCBI,landmark
23013,SPEN,ENSG00000065526,spen family transcriptional repressor,protein-coding,NCBI,landmark
23014,FBXO21,ENSG00000135108,F-box protein 21,protein-coding,NCBI,landmark
23029,RBM34,ENSG00000188739,RNA binding motif protein 34,protein-coding,NCBI,landmark
23038,WDTC1,ENSG00000142784,WD and tetratricopeptide repeats 1,protein-coding,NCBI,landmark
23039,XPO7,ENSG00000130227,exportin 7,protein-coding,NCBI,landmark
23061,TBC1D9B,ENSG00000197226,TBC1 domain family member 9B,protein-coding,NCBI,landmark
23076,RRP1B,ENSG00000160208,ribosomal RNA processing 1B,protein-coding,NCBI,landmark
23077,MYCBP2,ENSG00000005810,"MYC binding protein 2, E3 ubiquitin protein ligase",protein-coding,NCBI,landmark
2309,FOXO3,ENSG00000118689,forkhead box O3,protein-coding,NCBI,landmark
23097,CDK19,ENSG00000155111,cyclin dependent kinase 19,protein-coding,NCBI,landmark
23131,GPATCH8,ENSG00000186566,G-patch domain containing 8,protein-coding,NCBI,landmark
23139,MAST2,ENSG00000086015,microtubule associated serine/threonine kinase 2,protein-coding,NCBI,landmark
23142,DCUN1D4,ENSG00000109184,defective in cullin neddylation 1 domain containing 4,protein-coding,NCBI,landmark
23149,FCHO1,ENSG00000130475,FCH domain only 1,protein-coding,NCBI,landmark
23161,SNX13,ENSG00000071189,sorting nexin 13,protein-coding,NCBI,landmark
23200,ATP11B,ENSG00000058063,ATPase phospholipid transporting 11B (putative),protein-coding,NCBI,landmark
23210,JMJD6,ENSG00000070495,"jumonji domain containing 6, arginine demethylase and lysine hydroxylase",protein-coding,NCBI,landmark
23212,RRS1,ENSG00000179041,ribosome biogenesis regulator homolog,protein-coding,NCBI,landmark
